GL-000024	NSCLC SOC Genes
GL-001516	Disorders of sex development_CE
GL-001519	Cholestasis_CE
GL-001520	Hereditary nervous system cancer and hereditary cancer predisposition test
GL-001521	Autism spectrum disorders, attention deficit hyperactivity disorder and intellectual disability_CE
GL-001522	Factor XIII deficiency_CE
GL-001523	CYP11B1 and CYP21A2-related adrenal hyperplasia_CE
GL-001524	Inborn errors of metabolism and neuromuscular disorders_CE
GL-001525	Cardiac and skeletal disorders_CE
GL-001527	Neurodevelopmental disorders and dystonia_CE
GL-001528	Autism spectrum disorders and intellectual disability_CE
GL-001529	Neurocognitive and neurodevelopmental disorders_CE
GL-001530	Pycnodysostosis_CE
GL-001531	Arthrogrypotic spectrum disorders and skeletal dysplasia_CE
GL-001532	Skeletal dysplasia, and arthrogryposis and related disorders_CE
GL-001533	Hereditary gynecological, colorectal and nervous system cancer predisposition test
GL-001534	Inborn errors of metabolism, neurological disorders and skeletal disorders_CE
GL-001535	Disorders of collagen, elastin and dermal matrix_CE
GL-001536	Ataxia and neuropathies_CE
GL-001537	Common variable immunodeficiency_CE-STRAN-2017-2569
GL-001538	Hereditary colorectal and cancer predisposition test_33 genes
GL-001539	Lissencephaly_CE
GL-001540	Autism spectrum disorders, epilepsy and microcephaly_CE
GL-001542	Neurodevelopmental, neurocognitive and skeletal disorders_CE
GL-001543	Neurometabolic disorders, ataxia and epilepsy_CE
GL-001544	Congenital central hypoventilation syndrome_CE
GL-001545	Restrictive dermopathy_CE
GL-001546	Epilepsy and hereditary spastic paraplegia_CE
GL-001547	Congenital central hypoventilation syndrome and hereditary motor and sensory neuropathy_CE
GL-001549	Dystonia, epilepsy and neurocognitive disorders_CE
GL-001553	Ataxia_CE
GL-001554	Isolated retinal detachment_CE
GL-001555	Hereditary motor and sensory neuropathy and ataxia_CE
GL-001556	Mowat-Wilson and Angelman syndromes_CE
GL-001557	HHH syndrome and dihydropyrimidine dehydrogenase deficiency_CE
GL-001558	GCK- related disorders_CE
GL-001559	Thalassemia_CE
GL-001560	Leukodystrophies_CE-STRAN-2017-2754
GL-001561	IL7R and JAK3 related severe combined immunodeficiency_CE
GL-001562	Neurodevelopmental disorders and hereditary spastic paraplegia_CE
GL-001563	Trichothiodystrophy and encephalopathy_CE
GL-001564	Leigh syndrome and Wilson disease_CE
GL-001565	Attention deficit hyperactivity disorder, autism spectrum disorders, neurodevelopmental disorders and skeletal disorders_CE
GL-001566	Hyperbilirubinemia, hepatosplenomegaly and liver cirrhosis_CE
GL-001568	Beta-thalassemia_CE
GL-001569	POLG-spectrum disorders and congenital myasthenic syndrome_CE
GL-001570	Hirschsprung disease and Rett syndrome_CE
GL-001571	Vitreoretinopathy_CE
GL-001572	Congenital disorders of glycosylation_CE
GL-001573	Dandy-Walker malformation and microcephaly_CE
GL-001574	Hereditary colorectal, prostate, renal and endocrine cancer and hereditary cancer predisposition test
GL-001575	Microcephalic osteodysplastic primordial dwarfism_CE
GL-001576	Autism spectrum disorders, intellectual disability and microcephaly_CE
GL-001578	Epilepsy and neurometabolic disorders_CE
GL-001580	Mucopolysaccharidosis type I_CE
GL-001581	Hamartoneoplastic syndrome_CE
GL-001582	Hyperornithinemia-hyperammonemia-homocitrullinuria syndrome and dihydropyrimidine dehydrogenase deficiency_CE
GL-001583	Mendelian susceptibility to mycobacterial disease_CE
GL-001584	Eye disorders and neurological disorders_CE
GL-001585	Intellectual disability and macrocephaly_CE
GL-001586	Attention deficit hyperactivity disorder and intellectual disability_CE
GL-001587	Ataxia and microcephaly_CE
GL-001588	Acute necrotizing encephalopathy and trichothiodystrophy_CE
GL-001589	Autism spectrum disorders, attention deficit hyperactivity disorder, obesity and precocious puberty_CE
GL-001590	Hereditary rare cancer predisposition test_BHDS
GL-001591	Attention deficit hyperactivity disorder, autism spectrum disorders, epilepsy and microcephaly_CE
GL-001592	Friedreich ataxia and spinocerebellar ataxia_CE
GL-001593	Neuromuscular and neurotransmitter disorders_CE
GL-001594	Dystrophinopathy_CE
GL-001595	Attention deficit hyperactivity disorders, neuromuscular disorders and ichthyosis_CE
GL-001596	Hereditary breast, ovarian and skin cancer predisposition test_19 HBOC genes
GL-001597	Hereditary Peutz-Jeghers syndrome test
GL-001598	Hereditary neurofibromatosis and rare cancer predisposition test_Schwannomatosis
GL-001599	Segmental overgrwoth syndromes_CE
GL-001600	Mucopolysaccharidosis and mucolipidosis_CE
GL-001601	Apert syndrome and Pfeiffer syndrome_CE
GL-001602	Autism spectrum disorders, Mowat-Wilson syndrome and Rett syndrome_CE
GL-001604	Macrocephaly and Simpson-Golabi-Behmel syndrome_CE
GL-001605	Alexander disease and Krabbe disease_CE
GL-001606	Hyperekplexia_CE
GL-001607	Neurodevelopmental disorders and retinal dystrophies_CE
GL-001608	Neurological disorders and deafness_CE
GL-001609	Alexander disease, Krabbe disease and Leigh syndrome_CE
GL-001610	Neurodevelopmental and skeletal disorders_CE
GL-001611	Autism spectrum disorders, neurodevelopmental disorders and neurometabolic disorders_CE
GL-001612	Attention deficit hyperactivity disorder and microcephaly_CE
GL-001613	Attention deficit hyperactivity disorder and neurodevelopmental disorders_CE
GL-001615	Congenital heart defects and mitochondrial disorders_CE
GL-001616	Hemophagocytic lymphohistiocytosis and inborn errors of metabolism_CE
GL-001617	Sialidosis, galactosialidosis and myoclonic epilepsy_CE
GL-001618	Leukodystrophies, mitochondrial disorders, molybdenum cofactor deficiency and sulfite oxidase deficiency_CE
GL-001619	Congenital dyserythropoietic anemia_CE
GL-001620	Intellectual disability, microcephaly and epilepsy_CE
GL-001621	Hereditary breast cancer and hereditary cancer predisposition test
GL-001622	Hereditary breast, ovarian, colorectal and skin cancer predisposition test_19 HBOC genes
GL-001623	Hereditary breast, ovarian, colorectal and hereditary cancer predisposition test
GL-001624	Congenital insensitivity to pain_CE
GL-001625	Neuromuscular and mitochondrial disorders_CE
GL-001626	Alpha-1-antitrypsin deficiency, congenital hepatic fibrosis, cholestasis and tyrosinemia_CE
GL-001627	Fanconi anemia and skeletal disorders_CE
GL-001628	Hemophilia_CE
GL-001631	Fatty acid oxidation defects_CE
GL-001632	Myotonic dystrophy and Rieger syndrome_CE
GL-001633	Cystic renal disease_CE
GL-001634	Chediak-Higashi syndrome and Griscelli syndrome_CE
GL-001635	Intellectual disability_CE
GL-001637	Neurological disorders_CE
GL-001639	Neurodevelopmental disorders and intellectual disability_CE
GL-001640	Attention deficit hyperactivity disorder, epilepsy, ichthyosis and inborn errors of metabolism_CE
GL-001641	Channelopathies, epilepsy and neurometabolic disorders_CE
GL-001643	Rett syndrome_CE
GL-001644	Glutaric acidemia and Leigh syndrome_CE
GL-001645	Somatic 152
GL-001646	Disorders of vitamins and co-factor metabolism_CE
GL-001647	Venous thrombosis_CE
GL-001648	Diabetes mellitus and liver cirrhosis_CE
GL-001650	Intellectual disability and neuromuscular disorders_CE
GL-001651	Bartter syndrome and cystic fibrosis_CE
GL-001652	Neuromuscular disorders and neurodegeneration with brain iron accumulation_CE
GL-001654	Inborn errors of metabolism and mitochondrial disorders_CE
GL-001656	Hereditary gynecological and renal cancer predisposition test
GL-001657	Idiopathic pulmonary fibrosis_CE
GL-001658	Disorders of phenylalanine or tyrosine metabolism_CE
GL-001663	Warburg micro syndrome_CE
GL-001664	Hereditary spastic paraplegia and microcephaly_CE
GL-001665	Inborn errors of metabolism and neurodevelopmental disorders_CE
GL-001666	Congenital heart defects, dermatologic disorders and neurodevelopmental disorders_CE
GL-001667	Pigmentation disorders_CE_STRAN-2018-3995
GL-001668	Hereditary breast, colorectal and nervous system cancer predisposition test_19 genes
GL-001669	EFEMP2 and FBLN5-related disorders_CE
GL-001671	Intellectual disability and microcephaly_CE
GL-001672	Immunodeficiencies and propionic acidemia_CE
GL-001673	Disorders of sterol metabolism and cholestasis_CE
GL-001674	Disorders of vitamin B12 deficiency and anemia_CE
GL-001675	Epilepsy_CE-STRAN-2018-3827
GL-001676	Epilepsy and neuromuscular disorders_CE
GL-001677	Dystonia, inborn errors of metabolism, mitochondrial and neurotransmitter disorders_CE
GL-001678	Neurodevelopmental disorders and skeletal disorders_CE
GL-001679	Autism spectrum disorders_CE
GL-001680	Neurocognitive disorders_CE
GL-001681	Cholestasis, Costello syndrome and Niemann-Pick disease_CE
GL-001682	Epilepsy and neuronal ceroid lipofuscinosis_CE
GL-001683	Anemia, immunodeficiencies and nephrological disorders_CE
GL-001684	Deafness and eye disorders_CE
GL-001685	Autism spectrum disorders, epilepsy and inborn errors of metabolism_CE
GL-001686	Arrhythmias and cardiomyopathies_CE
GL-001687	Hemophagocytic lymphohistiocytosis and X-linked lymphoproliferative syndromes_CE
GL-001688	Dystonia and muscular dystrophies_CE
GL-001689	Hereditary spastic paraplegia and neuropathies_CE
GL-001690	Hereditary colorectal, breast, skin and nervous system cancer predisposition test (for male patients)
GL-001691	Immunodeficiency and cystic fibrosis_CE
GL-001692	Epilepsy and microcephaly_CE
GL-001693	Epilepsy, ataxia and microcephaly_CE
GL-001694	Hemophagocytic lymphohistiocytosis, X-linked lymphoproliferative syndromes and X-linked neutropenia_CE
GL-001695	Cockayne syndrome and peroxisome biogenesis disorders_CE
GL-001696	Macrocephaly_CE
GL-001697	Neurological disorders_CE-STRAN-2017-3202
GL-001698	Acromesomelic dysplasia_CE
GL-001699	Mitochondrial and neurological disorders_CE
GL-001700	Biotinidase deficiency and Phenylketonuria_CE
GL-001701	Inborn errors of metabolism, mitochondrial, neurotransmitter and neurological disorders_CE
GL-001704	Multiple epiphyseal dysplasia and pseudoachondroplasia_CE
GL-001705	Hereditary gynecological, endocrine and nervous system cancer predisposition test
GL-001706	Nephrological disorders_CE-STRAN-2018-4244
GL-001707	Neuromuscular disorders and overgrowth syndromes_CE
GL-001708	Hereditary breast, skin and nervous system cancer predisposition test (for male patients)
GL-001709	Neurodevelopmental and mitochondrial disorders_CE
GL-001711	Eye, neurodevelopmental and skeletal disorders_CE
GL-001713	Channelopathies, epilepsy and inborn errors of metabolism_CE
GL-001714	Hereditary breast, ovarian, prostate, colorectal and hereditary cancer predisposition test
GL-001716	Atrioventricular septal defects_CE
GL-001723	Hereditary colorectal cancer and von Hippel-Lindau syndrome predisposition test
GL-001724	Test genelist
GL-001725	Storage disorders, hyperpigmentation and hypertriglyceridemia_CE
GL-001726	Neurocutaneous syndromes_CE
GL-001727	Arginase deficiency_CE
GL-001728	Congenital heart defects, neurodevelopmental and neuromuscular disorders_CE
GL-001730	Ataxia and epilepsy_CE
GL-001731	Arginosuccinic aciduria and citrullinemia_CE
GL-001732	Gangliosidosis and leukodystrophies_CE
GL-001733	Stargardt disease_CE
GL-001734	Epilepsy and hyperinsulinemic hypoglycemia_CE
GL-001735	Cardiac disorders and epilepsy_CE
GL-001736	Leukocyte adhesion deficiency_CE
GL-001737	Pyogenic sterile arthritis, pyoderma gangrenosum and acne_CE
GL-001738	Epilepsy and intellectual disability_CE
GL-001739	Mitochondrial, neurodevelopmental and neurometabolic disorders_CE
GL-001740	Immunological disorders_CE
GL-001742	Inborn errors of metabolism and neurological disorders_CE
GL-001744	Tst genelist ce_
GL-001745	Neuromuscular disorders_CE-S3778
GL-001746	Congenital myasthenic syndrome, muscular dystrophies and myopathies_CE
GL-001747	Organic acidemias and severe combined immunodeficiency_CE
GL-001749	Epilepsy and hypoglycemia_CE
GL-001750	Cockayne syndrome_CE-STRAN-2018-4517
GL-001751	Leigh syndrome, neurodevelopmental and neuromuscular disorders_CE
GL-001752	Epilepsy and leukodystrophies_CE
GL-001753	Ataxia and Leigh syndrome_CE
GL-001754	Pelizaeus-Merzbacher disease_CE
GL-001756	CHARGE syndrome and skeletal disorders_CE
GL-001757	Spastic paraplegia_CE
GL-001758	Focal segmental glomerulosclerosis and nephrotic syndrome_CE
GL-001759	Hereditary colorectal, breast, prostate and endocrine cancer predisposition test (male patients)
GL-001760	test_Ce
GL-001761	Neurotransmitter disorders_CE
GL-001762	Lipodystrophy and muscular dystrophies_CE
GL-001763	Fetal akinesia deformation sequence and skeletal disorders_CE
GL-001764	Fetal akinesia deformation sequence and skeletal dysplasia_CE
GL-001765	Lipodystrophy_CE
GL-001766	Skeletal dysplasias and osteogenesis imperfecta_CE
GL-001767	Bardet-Biedl syndrome and Duane syndrome_CE
GL-001768	Neurodevelopmental, neurocognitive and neurotransmitter disorders_CE
GL-001769	Nephropathies_CE
GL-001770	Ataxia, Leigh syndrome and mitochondrial disorders_CE
GL-001771	Ataxia and mitochondrial disorders_CE
GL-001772	Andersen-Tawil syndrome, myotonia congenita and myotonic dystrophy_CE
GL-001773	Otospondylomegaepiphyseal dysplasia_CE
GL-001774	Hereditary breast, prostate and colorectal cancer predisposition test_19 genes (male patients)
GL-001775	Liver cirrhosis_CE
GL-001776	Deafness and nephrological disorders_CE
GL-001777	Dystonia and mitochondrial disorders_CE
GL-001778	Holt-Oram syndrome_CE
GL-001780	Keratosis pilaris and neurocutaneous syndromes_CE
GL-001781	Anophthalmia and microphthalmia_CE
GL-001782	Autism spectrum disorder, epilepsy and intellectual disability_CE
GL-001783	Abnormal minerelization disorders and osteogenesis imperfecta_CE
GL-001784	Leukodystrophies and neuropathies_CE
GL-001785	Autism spectrum disorders and skeletal dysplasia_CE
