GL-000024	NSCLC SOC Genes 9	ALK BRAF EGFR ERBB2 KRAS MET PIK3CA RET ROS1
GL-001097	Hereditary retinoblastoma test 1	RB1
GL-001098	Arthrogryposis_RD 7	CHRNG GLE1 NEB RAPSN UBA1 VIPAS39 VPS33B
GL-001099	Neuromuscular disorders_CE_1053 624	AARS ABCB7 ABCD1 ABHD12 ACADS ACTA1 ACTB ACTG2 ADCK3 ADCY5 ADD3 AFG3L2 AGRN AIFM1 ALDH18A1 ALG14 ALG2 ALS2 AMPD1 AMPD2 ANG ANO10 ANO3 ANO5 AP1S1 AP4B1 AP4E1 AP4M1 AP4S1 AP5Z1 APEX1 APTX ARHGEF10 ARHGEF28 ARL6IP1 ARSA ARSI ARX ASAH1 ASCC1 ATCAY ATL1 ATL3 ATM ATP13A2 ATP1A2 ATP1A3 ATP2A1 ATP2B3 ATP2B4 ATP7A ATP7B ATP8A2 AUH B3GALNT2 B3GNT1 B4GALNT1 BAG3 BCAP31 BCS1L BICD2 BIN1 BSCL2 BTD BVES C10ORF2 C12ORF65 C19ORF12 C9ORF72 CA8 CACNA1A CACNA1B CACNA1G CACNB4 CAMTA1 CAPN1 CAPN3 CASQ1 CAV3 CBS CC2D2A CCDC78 CCDC88C CCT5 CD59 CERS1 CFL2 CHAT CHCHD10 CHKB CHMP2B CHRNA1 CHRNA4 CHRNB1 CHRND CHRNE CIZ1 CLCN1 CLCN2 CLN3 CLN5 CLN6 CLN8 CNBP CNTN1 COL12A1 COL13A1 COL6A1 COL6A2 COL6A3 COL9A3 COLQ COQ2 COQ4 COQ6 COQ7 COQ9 COX10 COX15 COX20 COX6A1 CP CPT1C CPT2 CRYAB CSGALNACT1 CSTB CTDP1 CTSD CTSF CWF19L1 CYP27A1 CYP2U1 CYP7B1 D2HGDH DAG1 DAO DARS2 DCAF17 DCAF8 DCTN1 DDHD1 DDHD2 DES DFNB59 DGAT2 DHH DHTKD1 DIAPH3 DMD DMPK DMXL2 DNAJB2 DNAJB6 DNAJC19 DNAJC3 DNAJC5 DNM2 DNMT1 DOK7 DPAGT1 DPM1 DPM2 DPM3 DRD5 DST DSTYK DYNC1H1 DYSF EBF3 EEF2 EGR2 EIF2B1 EIF2B2 EIF2B3 EIF2B4 EIF2B5 ELOVL4 ELOVL5 EMD ENTPD1 EPB41L4A EPM2A ERBB4 ERLIN1 ERLIN2 EWSR1 EXOSC3 EXOSC8 FA2H FAM111B FAM134B FARS2 FBLN5 FBXL4 FBXO38 FGD4 FGF14 FHL1 FIG4 FKBP14 FKRP FKTN FLAD1 FLNC FLRT1 FLVCR1 FMR1 FOXRED1 FRG1 FRMD4A FTL FUCA1 FUS FXN GAA GAD1 GALC GALT GAMT GAN GARS GATM GBA GBA2 GBE1 GCDH GCH1 GDAP1 GFER GFPT1 GJB1 GJB3 GJC2 GLA GLB1 GLE1 GLRX5 GM2A GMPPB GNAL GNB4 GNE GOSR2 GPR56 GRID2 GRM1 GRN GSN GYG1 HACE1 HADHA HADHB HARS HINT1 HK1 HNRNPA1 HNRNPDL HOXD10 HPCA HPRT1 HRAS HSPB1 HSPB3 HSPB8 HSPD1 HSPG2 IARS2 IBA57 IFRD1 IFT140 IGHMBP2 IKBKAP INF2 ISCU ISPD ITGA7 ITM2B ITPR1 JPH1 KANK1 KARS KBTBD13 KCNA1 KCNA2 KCNC1 KCNC3 KCND3 KCNJ10 KCTD7 KIAA0196 KIAA0226 KIF1A KIF1B KIF1C KIF5A KLC2 KLHL40 KLHL41 KLHL9 KMT2B KY L1CAM LAMA2 LAMB2 LAMP2 LARGE LDB3 LIMS2 LITAF LMNA LMNB2 LMOD3 LRP4 LRSAM1 MAG MARS MARS2 MATR3 MCEE MECP2 MECR MED25 MEGF10 MFN2 MFSD8 MICU1 MMAA MMAB MMADHC MMD2 MME MORC2 MPZ MRE11A MTAP MTFMT MTM1 MTMR14 MTMR2 MTPAP MTTP MUSK MUT MYF6 MYH14 MYH2 MYH7 MYO18B MYO9A MYOT MYPN NAGLU NBN NDRG1 NDUFA10 NDUFA12 NDUFA2 NDUFA9 NDUFAF2 NDUFAF5 NDUFAF6 NDUFS1 NDUFS3 NDUFS4 NDUFS7 NDUFS8 NEB NEFH NEFL NGF NHLRC1 NIPA1 NKX2 NPC1 NPC2 NT5C2 NTRK1 NUBPL OPA1 OPTN ORAI1 OTOF OTUD4 PABPN1 PAH PANK2 PARK2 PAX6 PC PCNA PDGFB PDGFRB PDHA1 PDHX PDK3 PDSS1 PDSS2 PDYN PEX10 PEX16 PEX2 PEX7 PFN1 PGAM2 PGAP1 PHKA1 PHYH PIK3R5 PLA2G6 PLEC PLEKHG5 PLP1 PMM2 PMP22 PMPCA PNKD PNKP PNPLA2 PNPLA6 PNPLA8 POGLUT1 POLG POLR3A POLR3B POMGNT1 POMGNT2 POMK POMT1 POMT2 PON1 PON2 PPT1 PRDM12 PRDM8 PREPL PRICKLE1 PRKCG PRKRA PRNP PRPH PRPS1 PRRT2 PRX PSEN1 PSMB8 PTRH2 PUS1 PYGM PYROXD1 RAB3GAP2 RAB7A RAPSN RBCK1 REEP1 REEP2 RNASEH2A RNASEH2B RNASEH2C RNF170 RNF216 RPGRIP1L RPIA RRM2B RTN2 RTN4IP1 RYR1 SACS SAMD9L SAMHD1 SBF1 SBF2 SCARB2 SCN10A SCN11A SCN1A SCN2A SCN4A SCN8A SCN9A SCP2 SCYL1 SDHA SEPN1 SEPT9 SETX SGCA SGCB SGCD SGCE SGCG SH3TC2 SIGMAR1 SIL1 SLC12A6 SLC16A1 SLC16A2 SLC19A3 SLC1A3 SLC20A2 SLC25A19 SLC25A46 SLC2A1 SLC30A10 SLC33A1 SLC39A14 SLC52A2 SLC52A3 SLC5A7 SLC6A19 SLC6A3 SLC6A8 SLC9A1 SLC9A6 SMCHD1 SMN1 SMN2 SNAP25 SNAP29 SNCA SNX14 SOD1 SOX10 SPAST SPEG SPG11 SPG20 SPG7 SPR SPTBN2 SPTLC1 SPTLC2 SQSTM1 SRD5A3 SS18L1 SSPN STAC3 STIM1 STUB1 SUCLA2 SUCLG1 SUN1 SUN2 SURF1 SYNE1 SYNE2 SYT14 SYT2 TAF1 TAF15 TANGO2 TARDBP TAZ TBK1 TCAP TDP1 TDP2 TECPR2 TFG TGM6 TH THAP1 TIA1 TIMM8A TK2 TMEM126A TMEM240 TMEM43 TMEM5 TMEM67 TNNT1 TNPO3 TOR1A TOR1AIP1 TPM2 TPM3 TPP1 TRAPPC11 TREX1 TRIM2 TRIM3 TRIM32 TRIP4 TRPC3 TRPV4 TTBK2 TTC19 TTN TTPA TTR TUBA4A TUBB4A TYMP UBA1 UBA5 UBQLN2 UBR4 UCHL1 USP8 VAMP1 VAPB VARS2 VCP VLDLR VMA21 VPS13A VPS37A VRK1 VWA3B WDR45 WDR48 WDR73 WDR81 WFS1 WNK1 WWOX XK YARS YARS2 ZC4H2 ZFR ZFYVE26 ZFYVE27 ZNF592
GL-001101	Eye disorders_CE_S2017-711 230	ABCA3 ABCA4 ABCB6 ABHD12 ADAM9 ADAMTS18 AGK AIPL1 ARL6 BBS1 BBS10 BBS12 BBS2 BBS4 BBS5 BBS7 BBS9 BCOR BEST1 BFSP1 BFSP2 BMP4 BMP7 C12ORF57 C2ORF71 C8ORF37 CA4 CABP4 CACNA1F CACNA2D4 CAV1 CCDC28B CDH23 CDHR1 CEP290 CERKL CHM CHMP4B CIB2 CLRN1 CNGA1 CNGA3 CNGB1 CNGB3 CNNM4 COL4A1 CRB1 CRX CRYAA CRYAB CRYBA1 CRYBA4 CRYBB1 CRYBB2 CRYBB3 CRYGB CRYGC CRYGD CRYGS CTDP1 CYP1B1 DCN DFNB31 DHDDS EBP ELOVL4 EPHA2 ERCC2 ERCC3 ERCC5 ERCC6 EYA1 EYS FAM126A FAM161A FKTN FSCN2 FTL FYCO1 GALK1 GCNT2 GDF3 GDF6 GFER GJA1 GJA3 GJA8 GLI2 GNAT1 GNAT2 GPR179 GPR98 GRK1 GRM6 GTF2H5 GUCA1A GUCA1B GUCY2D HARS HCCS HSF4 IDH3B IMPDH1 IMPG2 IQCB1 JAM3 KCNJ13 KCNV2 KIF7 KLHL7 KRT12 KRT3 LCA5 LEPREL1 LIM2 LOXL1 LRAT LRP5 LTBP2 LZTFL1 MAK MERTK MFRP MIP MIR184 MKKS MKS1 MYO7A MYOC NAA10 NDP NEB NHS NMNAT1 NR2E3 NRL OCRL OPA1 OPN1LW OPN1MW OPTC OPTN OTX2 PAX6 PCDH15 PDE6A PDE6B PDE6C PDE6G PDE6H PDZD7 PEX1 PEX7 PIKFYVE PITPNM3 PITX2 PITX3 POMGNT1 POMT1 POMT2 PRCD PRKCG PROM1 PRPF3 PRPF31 PRPF6 PRPF8 PRPH2 PRSS56 PXDN RAB18 RAB28 RAB3GAP1 RAB3GAP2 RAX RAX2 RB1 RBP3 RBP4 RD3 RDH12 RDH5 RGR RHO RIMS1 RLBP1 ROM1 RP1 RP2 RP9 RPE65 RPGRIP1 RPGRIP1L SAG SDCCAG8 SEMA4A SHH SIX6 SLC16A12 SLC24A1 SLC33A1 SLC4A11 SMOC1 SNRNP200 SOX2 SPATA7 STRA6 TDRD7 TGFBI TMEM67 TOPORS TRIM32 TRPM1 TSPAN12 TTC8 TULP1 USH1C USH1G USH2A VAX1 VCAN VEGFA VIM VSX2 WDPCP WDR36 WFS1 YAP1 ZEB1 ZNF513
GL-001102	MCAD deficiency_RD 4	ACAD9 ACADL ACADM ACADVL
GL-001103	Hereditary ataxia telangiectasia test 1	ATM
GL-001104	Hereditary colorectal and gynecological cancer predisposition test 16	APC BMPR1A BRCA1 BRCA2 CDH1 CHEK2 EPCAM MLH1 MSH2 MSH6 MUTYH PMS2 PTEN SMAD4 STK11 TP53
GL-001105	Hemophagocytic lymphohistiocytosis_RD 6	AP3B1 LYST RAB27A STX11 STXBP2 UNC13D
GL-001106	Collagen related disorders_CE 45	ABCC6 ADAMTS2 ALDH18A1 ANTXR2 ATP7A CHST14 COL10A1 COL11A1 COL11A2 COL12A1 COL17A1 COL18A1 COL1A1 COL1A2 COL25A1 COL2A1 COL3A1 COL4A1 COL4A2 COL4A3 COL4A4 COL4A5 COL4A6 COL5A1 COL5A2 COL6A1 COL6A2 COL6A3 COL6A5 COL7A1 COL9A1 COL9A2 COL9A3 EFEMP2 ELN FBLN5 FBN1 FLNA HPGD LMNA PLOD1 RIN2 SMARCAD1 TNXB ZMPSTE24
GL-001107	Mucolipidosis and skeletal disorders_CE 414	ACP5 ACTB ACVR1 ADAMTS10 ADAMTS17 ADAMTSL2 ADCY6 AGA AGPS AIRE ALG9 ALPL ALX1 ALX4 AMER1 ANKH ANKRD11 ANO5 ANTXR2 ARHGAP31 ARID1A ARID1B ARL6 ARSB ARSE ATP6V0A2 ATP7A B3GAT3 B4GALT7 B9D1 B9D2 BANF1 BBS1 BBS10 BBS12 BBS2 BBS4 BBS5 BBS7 BBS9 BMP1 BMP2 BMPER BMPR1B C8ORF37 CA2 CALCR CANT1 CASR CC2D2A CCDC8 CDC6 CDC73 CDH3 CDT1 CEP290 CEP41 CHRNA1 CHRNB1 CHRND CHRNG CHST14 CHST3 CHSY1 CLCN5 CLCN7 COG1 COL10A1 COL11A1 COL11A2 COL1A1 COL1A2 COL2A1 COL3A1 COL9A1 COL9A2 COL9A3 COLEC11 COMP CREBBP CRTAP CTC1 CTSA CTSC CTSK CUL7 CYP26B1 CYP27B1 CYP2R1 DDR2 DDX58 DHCR24 DHODH DIS3L2 DLL3 DLX3 DLX5 DMP1 DNM2 DNMT3A DOCK6 DOK7 DYM DYNC2H1 EBP EDNRA EFNB1 EFTUD2 EIF2AK3 EMG1 ENPP1 EP300 ERBB3 ESCO2 EVC EVC2 EXT1 EXT2 EZH2 FAH FAM20C FAM58A FBLN1 FBN1 FBN2 FBXW4 FGF10 FGF23 FGF9 FGFR1 FGFR2 FGFR3 FIG4 FKBP10 FLNA FLNB FRAS1 FREM1 FREM2 FUCA1 GALNS GALNT3 GDF3 GDF5 GDF6 GJA1 GLB1 GLE1 GLI3 GNAS GNPAT GNPTAB GNPTG GNS GORAB GPC3 GPC6 GPX4 GREM1 GRIP1 GSC GUSB HDAC4 HDAC8 HES7 HGSNAT HOXA11 HOXD13 HPGD HRAS HSPA9 HSPG2 HYAL1 ICK IDH1 IDH2 IDS IDUA IFIH1 IFITM5 IFT122 IFT140 IFT43 IFT80 IHH IKBKG IL11RA IL1RN IL6 IMPAD1 INPP5E IRX5 KAT6B KIF22 KIF7 KL KRAS LBR LEMD3 LEPRE1 LFNG LIFR LMBR1 LMNA LMX1B LPIN2 LRP4 LRP5 LTBP2 LZTFL1 MAFB MAN2B1 MANBA MASP1 MATN3 MCOLN1 MEN1 MESP2 MGP MITF MKKS MKS1 MMP13 MMP14 MMP2 MMP9 MSX2 MTAP MUSK MYBPC1 MYH3 MYH8 MYO18B NAGLU NEK1 NEU1 NF1 NIPBL NKX3 NLRP3 NOG NOTCH1 NOTCH2 NPHP3 NPR2 NSD1 NSDHL NT5E OBSL1 OFD1 ORC1 ORC4 ORC6 OSTM1 PAPSS2 PAX3 PCNT PDE4D PEX1 PEX10 PEX12 PEX13 PEX14 PEX16 PEX19 PEX2 PEX26 PEX3 PEX5 PEX6 PEX7 PHEX PIEZO2 PIGV PIP5K1C PITX1 PLEKHM1 PLOD2 PLOD3 POLR1C POLR1D POP1 POR PORCN PPIB PRG4 PRKAR1A PRMT7 PSMB8 PTCH1 PTCH2 PTEN PTH PTH1R PTHLH PTPN11 PYCR1 RAB23 RAD21 RAPSN RASA1 RBM8A RECQL4 RIPK4 RMRP RNF135 RNU4ATAC ROR2 RPGRIP1 RPGRIP1L RPS26 RUNX2 RYR1 SALL1 SALL4 SBDS SDCCAG8 SEC23A SERPINF1 SERPINH1 SETBP1 SETD2 SF3B4 SGSH SH3BP2 SH3PXD2B SHOX SHOX SKI SLC17A5 SLC26A2 SLC2A2 SLC34A1 SLC34A3 SLC35D1 SLC39A13 SLC7A7 SLC9A3R1 SLCO2A1 SMAD3 SMARCA4 SMARCAL1 SMARCB1 SMARCE1 SMC1A SMC3 SMOC1 SNX10 SOST SOX9 SP7 SQSTM1 SRCAP SUFU SUMF1 TBC1D24 TBCE TBL1XR1 TBX15 TBX22 TBX3 TBX4 TBX5 TBX6 TBXAS1 TCIRG1 TCOF1 TCTN1 TCTN2 TGFB1 TGFB2 TGFB3 TGFBR1 TGFBR2 TMCO1 TMEM138 TMEM165 TMEM216 TMEM237 TMEM67 TNFRSF11A TNFRSF11B TNFSF11 TNNI2 TNNT3 TP63 TPM2 TRAPPC2 TREM2 TRIM32 TRIP11 TRPS1 TRPV4 TTC21B TTC8 TYROBP UBA1 VDR VIPAS39 VPS33B WDPCP WDR19 WDR35 WISP3 WNK1 WNT10B WNT3 WNT5A WNT7A XYLT1 XYLT2 ZIC1 ZIC3 ZMPSTE24
GL-001108	Nonketotic hyperglycinemia_CE 5	AMT BOLA3 GCSH GLDC LIAS
GL-001109	Bronchiectasis and poikiloderma syndromes_CE 41	ATM B2M BLM CCDC103 CCDC39 CCDC40 CFTR CTC1 DKC1 DNAAF3 DNAH11 DNAH5 DNAI1 DNAI2 DNAL1 DNMT3B DYX1C1 FERMT1 HYDIN ICOS IL21R LRRC6 NBN NHP2 NOP10 PIK3CD RECQL4 RSPH4A SCNN1A SCNN1B SCNN1G SERPINA1 TAP1 TAP2 TAPBP TERC TERT TINF2 TNFRSF13B USB1 WRAP53
GL-001112	Ehlers-Danlos syndrome and epidermolysis bullosa_CE 32	ADAMTS2 B4GALT7 CD151 CHST14 COL17A1 COL1A1 COL1A2 COL3A1 COL5A1 COL5A2 COL7A1 DSP DST FKBP14 ITGA3 ITGA6 ITGB4 JUP KRT14 KRT5 LAMA3 LAMB3 LAMC2 MMP1 PLEC PLOD1 PLOD2 PLOD3 SLC39A13 TGM5 TNXB ZNF469
GL-001113	Progressive familial intrahepatic cholestasis_CE 5	ABCB11 ABCB4 ATP8B1 NR1H4 TJP2
GL-001114	Cone dystrophy and retinitis pigmentosa_CE 125	ABCA4 ABHD12 ADAM9 AIPL1 ARL6 ATF6 ATXN2 BBS1 BBS10 BBS12 BBS2 BBS4 BBS5 BBS7 BEST1 C2ORF71 C8ORF37 CA4 CABP4 CACNA1F CACNA2D4 CC2D2A CCDC28B CDH23 CDHR1 CEP290 CERKL CIB2 CLN3 CLRN1 CNGA1 CNGA3 CNGB1 CNGB3 CNNM4 COQ2 CRB1 CRX CTSD DFNB31 DHDDS EYS FAM161A FLVCR1 FSCN2 GNAT2 GPR98 GUCA1A GUCA1B GUCY2D HGSNAT IDH3B IFT140 IMPDH1 IMPG2 IQCB1 KCNV2 KLHL7 LRAT MAK MERTK MFRP MFSD8 MKKS MKS1 MYO7A NBAS NEB NPHP4 NR2E3 NRL OFD1 OPN1LW OPN1MW OPN1SW PANK2 PCDH15 PDE6A PDE6B PDE6C PDE6G PDE6H PDZD7 PEX12 PEX2 PITPNM3 PMM2 POMGNT1 PRCD PRKCG PROM1 PRPF3 PRPF31 PRPF6 PRPF8 PRPH2 PRPS1 RAB28 RAX2 RBP3 RDH12 RGR RHO RIMS1 RLBP1 ROM1 RP1 RP1L1 RP2 RP9 RPE65 RPGR RPGRIP1 SAG SEMA4A SNRNP200 SPATA7 TOPORS TRAF3IP1 TTC8 TULP1 UNC119 USH1C USH2A ZNF513
GL-001115	Disorders of sterol metabolism_CE 24	ABCB11 ABCB4 ABCD3 AKR1D1 AMACR ATP8B1 BAAT CYP27A1 CYP7B1 DHCR24 DHCR7 EBP FGFR2 HSD3B7 LBR MSMO1 MVK NSDHL POR SC5D SLC10A2 STS TJP2 UGT1A1
GL-001116	Crigler-Najjar syndrome and Gilbert syndrome_CE 2	UGT1A1 UGT1A4
GL-001117	Smith-Lemli-Opitz syndrome_CE 1	DHCR7
GL-001118	Bartsocas-Papas syndrome_CE 1	RIPK4
GL-001119	Rett syndrome and leukodystrophies_CE 99	AARS2 ABCD1 ACOX1 ADAR AIMP1 APP ARSA ASPA CDKL5 CLCN2 COX10 COX15 CSF1R CTC1 CYP27A1 DARS2 EARS2 EIF2B1 EIF2B2 EIF2B3 EIF2B4 EIF2B5 ERCC8 FA2H FAM126A FOLR1 FOXRED1 GALC GFAP HEPACAM HSD17B4 HSPD1 HTRA1 IFIH1 LAMB1 LMNB1 MECP2 MLC1 MPV17 NDUFA1 NDUFA10 NDUFA11 NDUFA12 NDUFA2 NDUFA9 NDUFAF1 NDUFAF2 NDUFAF3 NDUFAF4 NDUFAF5 NDUFAF6 NDUFB3 NDUFB9 NDUFS1 NDUFS2 NDUFS3 NDUFS4 NDUFS6 NDUFS7 NDUFS8 NDUFV1 NDUFV2 NOTCH3 NUBPL PEX1 PEX10 PEX11B PEX12 PEX13 PEX14 PEX16 PEX19 PEX2 PEX26 PEX3 PEX5 PEX6 PEX7 PHYH PLP1 POLR1C POLR3A POLR3B PSAP RNASEH2A RNASEH2B RNASEH2C RNASET2 SAMHD1 SCP2 SDHA SLC16A2 SOX10 SUMF1 SURF1 TREM2 TREX1 TYMP TYROBP
GL-001120	Lissencephaly and muscular dystrophies_CE 104	ACTB ACTG1 ANO5 ASAH1 ASCC1 ATP6V0A2 ATP7A B3GNT1 BAG3 BIN1 BSCL2 CAPN3 CAV3 CHKB CLCN1 CNBP COL12A1 COL6A1 COL6A2 COL6A3 COQ2 CRADD DAG1 DCX DES DMD DMPK DNAJB2 DNAJB6 DPM1 DPM3 DYNC1H1 DYSF EMD FHL1 FKRP FKTN FRG1 FTO GAA GARS GJB1 GPR56 GPX4 HSPB8 IGHMBP2 ISPD ITGA7 LAMA2 LAMB1 LAMP2 LARGE LMNA MPZ MYH7 MYOT NDE1 OCLN PABPN1 PAFAH1B1 PEX13 PHGDH PHKA1 PLEC PLEKHG5 POMGNT1 POMGNT2 POMT1 POMT2 PSMB8 PYGM REEP1 RELN RNU4ATAC SCN4A SEPN1 SGCA SGCB SGCD SGCG SIGMAR1 SLC16A2 SLC52A3 SLC5A7 SMN1 SMN2 SNCA SUN2 SYNE1 SYNE2 TCAP TMEM43 TRIM32 TRPV4 TTN TUBA1A TUBB2B TUBB3 UBA1 VAPB VLDLR VRK1 WDR62 YWHAE
GL-001122	Hypomyelinating disorders and leukodystrophies_CE 109	AARS AARS2 ABCD1 ACOX1 ADAR ADSL AIMP1 ALDH3A2 APP ARSA ASPA BCAP31 CLCN2 COX10 COX15 CSF1R CTC1 CYP27A1 DARS2 EARS2 EGR2 EIF2B1 EIF2B2 EIF2B3 EIF2B4 EIF2B5 ERCC8 FA2H FAM126A FOLR1 FOXRED1 GALC GFAP HEPACAM HSD17B4 HSPD1 HTRA1 IFIH1 LAMB1 LMNB1 MLC1 MPV17 MPZ NDUFA1 NDUFA10 NDUFA11 NDUFA12 NDUFA2 NDUFA9 NDUFAF1 NDUFAF2 NDUFAF3 NDUFAF4 NDUFAF5 NDUFAF6 NDUFB3 NDUFB9 NDUFS1 NDUFS2 NDUFS3 NDUFS4 NDUFS6 NDUFS7 NDUFS8 NDUFV1 NDUFV2 NOTCH3 NUBPL PEX1 PEX10 PEX11B PEX12 PEX13 PEX14 PEX16 PEX19 PEX2 PEX26 PEX3 PEX5 PEX6 PEX7 PHYH PLP1 POLR1C POLR3A POLR3B PRX PSAP RNASEH2A RNASEH2B RNASEH2C RNASET2 SAMHD1 SCP2 SDHA SLC16A2 SLC17A5 SLC25A12 SLC33A1 SOX10 SPTAN1 STXBP1 SUMF1 SURF1 TREM2 TREX1 TYMP TYROBP
GL-001123	Maturity-onset diabetes of the young_CE 30	ABCC8 AKT2 BLK CEL ENPP1 GCGR GCK GPD2 HMGA1 HNF1A HNF1B HNF4A INS IRS1 KCNJ11 KLF11 LIPC MAPK8IP1 MTNR1B NEUROD1 PAX4 PDX1 PPARG PPP1R3A PTPN1 RETN SLC2A2 SLC30A8 TCF7L2 WFS1
GL-001124	Hereditary breast, prostate, colorectal and nervous system cancer predisposition test_19genes 30	ALK APC ATM BMPR1A BRCA1 BRCA2 BRIP1 CDH1 CHEK2 EPCAM MEN1 MLH1 MSH2 MSH6 MUTYH NBN NF1 NF2 PALB2 PMS2 PTEN RAD51C RAD51D SMAD4 STK11 SUFU TP53 TSC1 TSC2 VHL
GL-001126	Leigh syndrome_CE 54	ACAD9 AIFM1 BCS1L BTD C12ORF65 COX10 COX15 DLD EARS2 ETHE1 FARS2 FOXRED1 GFM1 HIBCH LIAS LRPPRC MTFMT NDUFA1 NDUFA10 NDUFA11 NDUFA12 NDUFA2 NDUFA4 NDUFA9 NDUFAF2 NDUFAF5 NDUFAF6 NDUFS1 NDUFS2 NDUFS3 NDUFS4 NDUFS7 NDUFS8 NDUFV1 NDUFV2 NUBPL PDHA1 PDHB PDHX PDSS2 POLG SCO2 SDHA SLC19A3 SLC25A19 SUCLA2 SUCLG1 SURF1 TACO1 TPK1 TRMU TSFM TTC19 UQCRQ
GL-001127	Hereditary spastic paraplegia and leukodystrophies_CE 147	AARS2 ABCD1 ACOX1 ADAR AIMP1 ALDH18A1 ALS2 AP4B1 AP4E1 AP4M1 AP4S1 AP5Z1 APP ARSA ASPA ATL1 ATP13A2 ATP1A2 ATP1A3 ATP2B4 BSCL2 C12ORF65 C19ORF12 CACNA1A CCT5 CLCN2 COX10 COX15 CSF1R CTC1 CYP27A1 CYP7B1 DARS2 EARS2 EIF2B1 EIF2B2 EIF2B3 EIF2B4 EIF2B5 ELOVL4 ENTPD1 ERCC8 ERLIN2 EXOSC3 FA2H FAM126A FARS2 FOLR1 FOXRED1 GAD1 GALC GBA GFAP HACE1 HEPACAM HSD17B4 HSPD1 HTRA1 IFIH1 KANK1 KDM5C KIAA0196 KIF1A KIF5A L1CAM LAMB1 LMNB1 MLC1 MPV17 NDUFA1 NDUFA10 NDUFA11 NDUFA12 NDUFA2 NDUFA9 NDUFAF1 NDUFAF2 NDUFAF3 NDUFAF4 NDUFAF5 NDUFAF6 NDUFB3 NDUFB9 NDUFS1 NDUFS2 NDUFS3 NDUFS4 NDUFS6 NDUFS7 NDUFS8 NDUFV1 NDUFV2 NIPA1 NOTCH3 NUBPL OPA3 PEX1 PEX10 PEX11B PEX12 PEX13 PEX14 PEX16 PEX19 PEX2 PEX26 PEX3 PEX5 PEX6 PEX7 PHYH PLP1 PNPLA6 POLR1C POLR3A POLR3B PSAP PSEN1 RAB3GAP2 REEP1 RNASEH2A RNASEH2B RNASEH2C RNASET2 RTN2 SACS SAMHD1 SCP2 SDHA SLC16A2 SLC33A1 SOX10 SPAST SPG11 SPG20 SPG21 SPG7 SUMF1 SURF1 TREM2 TREX1 TYMP TYROBP UCHL1 VCP ZFYVE26 ZFYVE27
GL-001128	Hereditary breast cancer predisposition test_19 genes 19	ATM BRCA1 BRCA2 BRIP1 CDH1 CHEK2 EPCAM MLH1 MSH2 MSH6 NBN NF1 PALB2 PMS2 PTEN RAD51C RAD51D STK11 TP53
GL-001131	Von Hippel-Lindau Syndrome Test 1	VHL
GL-001132	Hereditary breast, ovarian and neurological cancer predisposition test_19 HBOC genes 27	ALK APC ATM BRCA1 BRCA2 BRIP1 CDH1 CHEK2 EPCAM MEN1 MLH1 MSH2 MSH6 NBN NF1 NF2 PALB2 PMS2 PTEN RAD51C RAD51D STK11 SUFU TP53 TSC1 TSC2 VHL
